latitude,longitude,altitude,timestamp,heart_rate,cadence,elevation
55.91244273819029,11.656076554208994,13.0,2022-10-08 13:51:02+02:00,148,0,34.0
55.91239630244672,11.656100358814001,13.200000000000045,2022-10-08 13:51:07+02:00,147,0,34.0
55.91235598549247,11.656160540878773,13.200000000000045,2022-10-08 13:51:10+02:00,146,61,34.0
55.91218859888613,11.656355587765574,13.799999999999955,2022-10-08 13:51:18+02:00,147,72,35.0
55.91212095692754,11.656420798972249,12.399999999999977,2022-10-08 13:51:23+02:00,151,74,35.0
55.91209623031318,11.656462959945202,13.200000000000045,2022-10-08 13:51:27+02:00,149,61,35.0
55.91209421865642,11.656475281342864,14.0,2022-10-08 13:51:29+02:00,146,0,35.0
55.91209354810417,11.656481819227338,14.399999999999977,2022-10-08 13:51:30+02:00,142,0,35.0
55.91210092417896,11.656494392082095,17.399999999999977,2022-10-08 13:51:39+02:00,145,0,35.0
55.91209773905575,11.656497828662395,19.200000000000045,2022-10-08 13:51:47+02:00,144,0,35.0
55.91209555976093,11.656505791470408,19.799999999999955,2022-10-08 13:51:49+02:00,141,61,35.0
55.91208701021969,11.656526075676084,20.399999999999977,2022-10-08 13:51:52+02:00,141,61,35.0
55.91208248399198,11.656536301597953,20.399999999999977,2022-10-08 13:51:53+02:00,138,52,35.0
55.912082735449076,11.656571170315146,20.600000000000023,2022-10-08 13:51:55+02:00,138,52,35.0
55.91211777180433,11.656735707074404,21.200000000000045,2022-10-08 13:52:01+02:00,141,71,36.0
55.91210193000734,11.656768145039678,21.799999999999955,2022-10-08 13:52:04+02:00,146,0,36.0
55.91208751313388,11.656792452558875,22.0,2022-10-08 13:52:08+02:00,142,0,35.0
55.91207561083138,11.656831009313464,21.799999999999955,2022-10-08 13:52:10+02:00,138,0,35.0
55.91202414594591,11.656896388158202,21.799999999999955,2022-10-08 13:52:14+02:00,141,76,35.0
55.91197553090751,11.65695246309042,22.200000000000045,2022-10-08 13:52:15+02:00,143,77,35.0
